run_id,algo,function_set,constant_set,p_c,functions,constants
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_full_const-none,arith_full,none,0.0,add;subtract;multiply;divide,{}
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_full_const-small_ints,arith_full,small_ints,0.15,add;subtract;multiply;divide,"{""constant_2"": 2.0, ""constant_3"": 3.0, ""constant_4"": 4.0, ""constant_5"": 5.0, ""constant__1"": -1.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_full_const-unit,arith_full,unit,0.15,add;subtract;multiply;divide,"{""constant_1"": 1.0, ""constant__1"": -1.0, ""constant_2"": 2.0, ""constant__2"": -2.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_full_const-fractional,arith_full,fractional,0.15,add;subtract;multiply;divide,"{""constant_half"": 0.5, ""constant_1"": 1.0, ""constant_2"": 2.0, ""constant__half"": -0.5, ""constant__1"": -1.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_base_const-none,arith_base,none,0.0,add;subtract,{}
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_base_const-small_ints,arith_base,small_ints,0.15,add;subtract,"{""constant_2"": 2.0, ""constant_3"": 3.0, ""constant_4"": 4.0, ""constant_5"": 5.0, ""constant__1"": -1.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_base_const-unit,arith_base,unit,0.15,add;subtract,"{""constant_1"": 1.0, ""constant__1"": -1.0, ""constant_2"": 2.0, ""constant__2"": -2.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_base_const-fractional,arith_base,fractional,0.15,add;subtract,"{""constant_half"": 0.5, ""constant_1"": 1.0, ""constant_2"": 2.0, ""constant__half"": -0.5, ""constant__1"": -1.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-add_mult_const-none,add_mult,none,0.0,add;multiply,{}
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-add_mult_const-small_ints,add_mult,small_ints,0.15,add;multiply,"{""constant_2"": 2.0, ""constant_3"": 3.0, ""constant_4"": 4.0, ""constant_5"": 5.0, ""constant__1"": -1.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-add_mult_const-unit,add_mult,unit,0.15,add;multiply,"{""constant_1"": 1.0, ""constant__1"": -1.0, ""constant_2"": 2.0, ""constant__2"": -2.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-add_mult_const-fractional,add_mult,fractional,0.15,add;multiply,"{""constant_half"": 0.5, ""constant_1"": 1.0, ""constant_2"": 2.0, ""constant__half"": -0.5, ""constant__1"": -1.0}"
93307cb4-7f60-11f1-87ef-2c7ba0e6fa90,SLIM*MIX_oms_pat5_fn-arith_trig_const-none,arith_trig,none,0.0,add;subtract;multiply;divide;sin;cos,{}
