dataset,algo,rmse_raw,r2
concrete,sshc_rt_ms1,15.709601402282715,0.17560648918151855
concrete,sshc_rt_oms,15.6220121383667,0.14329326152801514
energy,sshc_rt_ms1,8.511261940002441,0.31590133905410767
energy,sshc_rt_oms,9.228585243225098,0.20048284530639648
instanbul,sshc_rt_ms1,0.020170750096440315,0.09774690866470337
instanbul,sshc_rt_oms,0.02014138177037239,0.09556448459625244
ppb,sshc_rt_ms1,38.56630325317383,-0.35666215419769287
ppb,sshc_rt_oms,35.823158264160156,-0.02512192726135254
resid_build_sale_price,sshc_rt_ms1,162.65090942382812,0.0350988507270813
resid_build_sale_price,sshc_rt_oms,165.7947235107422,-0.004575252532958984
toxicity,sshc_rt_ms1,2057.669189453125,-0.12484133243560791
toxicity,sshc_rt_oms,2051.89599609375,-0.0785210132598877
