dataset,split,recon_r2_test
ppb,0,-0.00041306018829345703
ppb,1,-0.0005412101745605469
ppb,2,-0.002056598663330078
ppb,3,1.9550323486328125e-05
ppb,4,-0.001436471939086914
toxicity,0,-4.172325134277344e-06
toxicity,1,-0.0002630949020385742
toxicity,2,-0.0006785392761230469
toxicity,3,-0.0008684396743774414
toxicity,4,-0.0011196136474609375
resid_build_sale_price,0,-0.00010895729064941406
resid_build_sale_price,1,-0.00030863285064697266
resid_build_sale_price,2,-0.0005284547805786133
resid_build_sale_price,3,-0.00016355514526367188
resid_build_sale_price,4,0.00013375282287597656
instanbul,0,-0.00025582313537597656
instanbul,1,-0.0013660192489624023
instanbul,2,-0.00010347366333007812
instanbul,3,-0.00035643577575683594
instanbul,4,-0.00042438507080078125
energy,0,-0.00022029876708984375
energy,1,-0.0004273653030395508
energy,2,0.00018596649169921875
energy,3,-0.00023925304412841797
energy,4,-0.00013566017150878906
concrete,0,-3.1948089599609375e-05
concrete,1,1.33514404296875e-05
concrete,2,-2.0503997802734375e-05
concrete,3,-3.5762786865234375e-05
concrete,4,-9.608268737792969e-05
